,unique_identifier,song_id,song_name,duration_ms,song_url,popularity,date_time_played,album_id,artist_id
20,0cBPhFzSCEH9Bdc8N5xqKW-1668901997,0cBPhFzSCEH9Bdc8N5xqKW,Die A Little Bit (Remix),223036,https://open.spotify.com/track/0cBPhFzSCEH9Bdc8N5xqKW,43,2022-11-19 23:53:17.851,5xEl7MGvAzl2FxwVlngE1M,0NIIxcxNHmOoyBx03SfTCD
21,0cBPhFzSCEH9Bdc8N5xqKW-1668901774,0cBPhFzSCEH9Bdc8N5xqKW,Die A Little Bit (Remix),223036,https://open.spotify.com/track/0cBPhFzSCEH9Bdc8N5xqKW,43,2022-11-19 23:49:34.237,5xEl7MGvAzl2FxwVlngE1M,0NIIxcxNHmOoyBx03SfTCD
22,0cBPhFzSCEH9Bdc8N5xqKW-1668887432,0cBPhFzSCEH9Bdc8N5xqKW,Die A Little Bit (Remix),223036,https://open.spotify.com/track/0cBPhFzSCEH9Bdc8N5xqKW,43,2022-11-19 19:50:32.577,5xEl7MGvAzl2FxwVlngE1M,0NIIxcxNHmOoyBx03SfTCD
23,0cBPhFzSCEH9Bdc8N5xqKW-1668880507,0cBPhFzSCEH9Bdc8N5xqKW,Die A Little Bit (Remix),223036,https://open.spotify.com/track/0cBPhFzSCEH9Bdc8N5xqKW,43,2022-11-19 17:55:07.018,5xEl7MGvAzl2FxwVlngE1M,0NIIxcxNHmOoyBx03SfTCD
24,6GFfDRG1Sff3IZaD0TYro4-1668879794,6GFfDRG1Sff3IZaD0TYro4,Empty Space,213306,https://open.spotify.com/track/6GFfDRG1Sff3IZaD0TYro4,65,2022-11-19 17:43:14.322,0cm9LOQUBK3JUgyoRj238z,4IWBUUAFIplrNtaOHcJPRM
25,395KzBy0bkb57dEvg6cfzJ-1668879104,395KzBy0bkb57dEvg6cfzJ,Falling Like The Stars,211653,https://open.spotify.com/track/395KzBy0bkb57dEvg6cfzJ,71,2022-11-19 17:31:44.822,0cm9LOQUBK3JUgyoRj238z,4IWBUUAFIplrNtaOHcJPRM
26,39Q20GZHKK0IK8oKkhfxiJ-1668878167,39Q20GZHKK0IK8oKkhfxiJ,One Last Song,192922,https://open.spotify.com/track/39Q20GZHKK0IK8oKkhfxiJ,55,2022-11-19 17:16:07.503,3XftSbguntyRTBQaGItmfK,2wY79sveU1sp5g7SokKOiI
27,67aDq4Z8lErpWQ0Ky0xaJo-1668877974,67aDq4Z8lErpWQ0Ky0xaJo,Say It First,247554,https://open.spotify.com/track/67aDq4Z8lErpWQ0Ky0xaJo,52,2022-11-19 17:12:54.264,3XftSbguntyRTBQaGItmfK,2wY79sveU1sp5g7SokKOiI
28,7795WJLVKJoAyVoOtCWqXN-1668877648,7795WJLVKJoAyVoOtCWqXN,I'm Not The Only One,239316,https://open.spotify.com/track/7795WJLVKJoAyVoOtCWqXN,87,2022-11-19 17:07:28.809,08jWgM4vSkTose4blKBWov,2wY79sveU1sp5g7SokKOiI
29,3DTqHfTGj1c6y2gDXsTez4-1668877370,3DTqHfTGj1c6y2gDXsTez4,Regardless,197573,https://open.spotify.com/track/3DTqHfTGj1c6y2gDXsTez4,63,2022-11-19 17:02:50.490,7u2byARDMi8YgqSVhKArYB,5KKpBU5eC2tJDzf0wmlRp2
30,2c6xRsQBv7pynuhYhWoHxo-1668876609,2c6xRsQBv7pynuhYhWoHxo,Woman Like Me,300247,https://open.spotify.com/track/2c6xRsQBv7pynuhYhWoHxo,65,2022-11-19 16:50:09.013,21jF5jlMtzo94wbxmJ18aa,4dpARuHxo51G3z768sgnrY
